var,beta
(Intercept),0.729054421040162
cg00114412,-0.0294007947074454
cg00227334,-0.0140091781145011
cg00258262,0.00755761408809341
cg00264615,-0.0294218887176223
cg00393367,0.127685281000849
cg00559067,0.0861999112992311
cg00577835,-0.0117269548143167
cg00587168,0.0172169382813883
cg00855890,0.0763537953562784
cg00915004,0.137746752088424
cg00953859,0.0143490960909535
cg01053290,-0.0605089457192954
cg01137681,0.132718427486726
cg01156745,-0.0349786316446969
cg01211648,-0.0697464750561932
cg01342051,0.0571861220103286
cg01454752,0.00998737259822402
cg01486146,0.0663441431818364
cg01528792,-0.171633501734856
cg01639959,-0.092145948576919
cg01655447,-0.00232548803140642
cg01701526,-0.0886999215593933
cg01787104,-0.0533988766382452
cg01845954,-0.0897396610213077
cg01932632,-0.0640542890632771
cg01946200,0.391171201003359
cg02007453,-0.375883484800351
cg02034779,0.0318255200111894
cg02040024,0.1028957611672
cg02073955,-0.0586602276510819
cg02103833,-0.319895839379316
cg02153512,-0.0118797549507221
cg02175825,-0.0243933188634744
cg02187860,-0.0070500763884158
cg02192529,-0.00558768669649956
cg02200118,-0.315240977329771
cg02202691,-0.000975793720928396
cg02215504,-0.0222055082042764
cg02244090,-0.0837466398560576
cg02255236,0.193928266028014
cg02269623,0.000129633171226874
cg02290121,0.0565840239342066
cg02294284,-0.0376169865851506
cg02314721,-0.119822719546342
cg02481504,0.0124139664413901
cg02532525,0.329943289887287
cg02581097,-0.0578165052597748
cg02635521,-0.259448620174301
cg02779499,-0.0425516719199879
cg02783173,0.043829668530145
cg02806036,-0.469576172827507
cg02845962,0.0214260155928617
cg02857399,0.118729857855949
cg02884952,0.0412910055927562
cg02899718,-0.159210422046509
cg02918319,-0.0143250467140822
cg03005827,0.0177297693382575
cg03053914,-0.263019141481793
cg03112636,-0.0172691638777518
cg03183633,-0.0501377199559247
cg03199779,0.00384890092533508
cg03222030,-0.0174935426323429
cg03257592,0.000712555597159482
cg03291757,0.0422872839449595
cg03421587,-0.00125324145477942
cg03436378,0.0208790999431824
cg03521797,-0.0221031581604662
cg03669298,-0.166252748508208
cg03676977,0.0037416471769786
cg03732545,-0.0114488077867593
cg03826754,-0.453065829299018
cg04028233,0.0389868755972436
cg04030203,6.05613352280296e-05
cg04105754,0.00151479898827893
cg04135292,0.0626220240833644
cg04175952,0.0103199360960854
cg04231169,0.0855613054891307
cg04263029,0.0674049312815716
cg04272551,-2.09448232013132
cg04305771,0.579324735049279
cg04358187,0.00280561531812405
cg04414148,-0.239800436628094
cg04547147,-0.258186642245961
cg04794444,0.290530615100299
cg04814124,0.189055178261158
cg04866128,0.219021141865215
cg04934403,0.0028870140920936
cg05037737,0.0279977424466046
cg05039938,-0.00236021159115623
cg05212484,-0.0429401590059732
cg05268271,-0.0160707928747426
cg05275337,-0.0701377156824676
cg05314634,-0.167329465150496
cg05322294,-0.0392720245911856
cg05371279,0.202651834735303
cg05401971,0.150320100010034
cg05456580,0.32245738555184
cg05486014,0.059655778888936
cg05535461,0.0137881695579841
cg05562961,0.0525931660134496
cg05575054,0.112921675321416
cg05675373,0.130841791064988
cg05736341,0.0344041921626989
cg05759182,0.00483274023344218
cg05844902,-0.0405199636697974
cg05874561,0.184782084936296
cg05897263,0.455172245435854
cg05911522,-0.0236177013502786
cg06092926,4.67929178304062e-06
cg06102298,-0.186172935743659
cg06149692,0.0708357889179387
cg06156376,0.0489327234790082
cg06391468,-0.0407495295703027
cg06461219,-0.179923475337204
cg06482098,-0.0588963227539223
cg06488465,0.0142298457724102
cg06493372,0.0246517134531958
cg06571003,-0.103264872066787
cg06584607,0.0044619157285441
cg06649032,0.0836721041791624
cg06670018,0.358189010863638
