index,var,beta_clock2
1,Intercept,-1.911376417
2,cg00020468,-0.002385015
3,cg00096922,-0.009445006
4,cg00098422,0.055805395
5,cg00106940,-0.059144902
6,cg00195533,-0.172659288
7,cg00250826,0.007619397
8,cg00258262,0.053678899
9,cg00314427,-0.078688839
10,cg00362836,0.059616586
11,cg00384342,-0.065628925
12,cg00454305,-0.034853815
13,cg00467357,-0.04281876
14,cg00489428,0.259347448
15,cg00568797,0.000704476
16,cg00593462,0.102285886
17,cg00643485,0.106150468
18,cg00689383,-0.019021064
19,cg00694357,-0.226399969
20,cg00788877,-0.010860024
21,cg00864083,0.079041497
22,cg00871371,-0.10834653
23,cg00929113,-0.019965063
24,cg00975350,-0.084775867
25,cg00984060,0.02648832
26,cg01019040,-0.022070782
27,cg01038105,-0.093778762
28,cg01061575,0.031510738
29,cg01063757,-0.095529161
30,cg01090334,0.040065649
31,cg01137681,0.033200202
32,cg01150494,0.262796867
33,cg01153166,0.009852162
34,cg01169686,-0.024840384
35,cg01224972,0.095609357
36,cg01293647,-0.150593826
37,cg01301326,-0.004566517
38,cg01309159,-0.054916848
39,cg01328716,-0.031191772
40,cg01337143,0.07480186
41,cg01409964,0.083311003
42,cg01429475,0.119481691
43,cg01450059,-0.027134492
44,cg01534197,0.002593792
45,cg01550545,0.026014745
46,cg01566077,-0.154666184
47,cg01571965,0.011414881
48,cg01585174,-0.027592912
49,cg01594275,0.247994017
50,cg01631669,-0.058052296
51,cg01648756,0.064415481
52,cg01712842,0.041565693
53,cg01782227,-0.102976592
54,cg01946200,0.048346894
55,cg01975510,0.411008638
56,cg01998606,0.015427788
57,cg02034779,0.051431844
58,cg02040024,0.109016144
59,cg02040823,-0.03142684
60,cg02177464,0.192402722
61,cg02184281,-0.085773654
62,cg02273345,-0.05115149
63,cg02284095,0.067307142
64,cg02287493,0.036755419
65,cg02360445,-0.007329344
66,cg02376954,-0.168298169
67,cg02456804,0.151081425
68,cg02532525,0.149617321
69,cg02551294,0.023974005
70,cg02629039,-0.007261266
71,cg02692845,-0.114387436
72,cg02783173,0.045964123
73,cg02800363,-0.170767165
74,cg02864622,0.029391622
75,cg02909927,-0.026285595
76,cg02946452,0.027377597
77,cg02953590,0.049758795
78,cg02963786,-0.085778172
79,cg02968236,-0.019829188
80,cg03127034,2.64E-05
81,cg03163184,0.027326053
82,cg03190580,-0.034310363
83,cg03222030,-0.007134081
84,cg03225697,-0.070415212
85,cg03247467,-0.007630757
86,cg03320248,0.001015294
87,cg03387624,-0.020938909
88,cg03420509,-0.073838114
89,cg03521797,-0.211323543
90,cg03588035,-0.116801899
91,cg03600207,-0.072475922
92,cg03668418,-0.002172889
93,cg03679521,0.401910668
94,cg03683773,-0.021062056
95,cg03820088,0.013663094
96,cg03898602,-0.048943351
97,cg03905052,0.01877552
98,cg03909491,0.033113247
99,cg03917360,0.037601777
100,cg03942000,0.110069983
101,cg03957108,7.10E-05
102,cg04025518,-0.042933617
103,cg04087693,0.066535753
104,cg04103301,-0.017828848
105,cg04111974,-0.026401162
106,cg04204168,-0.049448309
107,cg04267101,-0.029512229
108,cg04353319,0.053408585
109,cg04366185,0.022592427
110,cg04368876,0.024900264
111,cg04373810,-0.000961809
112,cg04414148,-0.027833877
113,cg04539386,-0.110715895
114,cg04584281,-0.009269542
115,cg04680480,0.122538377
116,cg04706544,0.048970692
117,cg04707251,-0.15734952
118,cg04725401,0.144229417
119,cg04787747,0.1704938
120,cg04817453,0.055106825
121,cg04847707,-0.063028003
122,cg04889095,0.116838767
123,cg04913399,-0.001623059
124,cg04958293,-0.002086394
125,cg04996684,0.001550941
126,cg04998737,0.487512428
127,cg05008190,-0.220085399
128,cg05033071,-0.027820003
129,cg05035366,-0.024783411
130,cg05039938,-0.139131933
131,cg05136138,-0.004057652
132,cg05172686,-0.001596476
133,cg05196683,0.022048697
134,cg05243338,-0.111901872
135,cg05261703,-0.129021442
136,cg05292023,-0.004253109
137,cg05330587,-0.134189874
138,cg05332360,0.015314069
139,cg05359706,0.050629195
140,cg05401971,0.51729423
141,cg05456580,0.024586053
142,cg05474883,0.95219804
143,cg05524242,-0.00399539
144,cg05535461,0.005687636
145,cg05537515,-0.034620192
146,cg05551621,0.310352634
147,cg05575054,0.065671064
148,cg05584618,0.001226466
149,cg05620664,-0.03690146
150,cg05675373,0.010905188
151,cg05684493,0.004714162
152,cg05690769,-2.12E-05
153,cg05704605,0.072925171
154,cg05793328,-0.036896393
155,cg05801021,0.094169856
156,cg05801832,-0.009287951
