index,var,beta_clock1
1,Intercept,1.431441164
2,cg00249943,0.15278629
3,cg00250826,0.002770105
4,cg00292639,-0.129891492
5,cg00362836,0.04862963
6,cg00411555,-0.031365579
7,cg00513357,0.091425998
8,cg00587168,0.055298686
9,cg00593462,0.437911032
10,cg00687674,-0.140868637
11,cg00694357,-0.808471134
12,cg00900456,-0.033398244
13,cg00954002,-0.122975242
14,cg01009870,0.101085274
15,cg01019040,-0.004560905
16,cg01059743,-0.206340851
17,cg01136078,-0.001618486
18,cg01153166,0.07213742
19,cg01169686,-0.036956214
20,cg01246498,0.05297066
21,cg01429475,0.172114471
22,cg01511232,0.037939655
23,cg01656216,0.047490848
24,cg01698540,0.06197273
25,cg01794235,0.047381114
26,cg01975510,0.054041463
27,cg02474352,0.05577934
28,cg02499612,-0.041029
29,cg02532525,0.129828583
30,cg02606236,-0.020354116
31,cg02692845,-0.010986992
32,cg02734933,-0.050618726
33,cg02909927,-0.001149372
34,cg02963786,-0.145537423
35,cg03098892,-0.067706973
36,cg03103192,0.033028519
37,cg03185524,0.083587533
38,cg03320248,0.025943472
39,cg03370924,0.178694835
40,cg03564272,0.093220736
41,cg03603997,-0.003361709
42,cg03605454,0.274512763
43,cg03668418,-0.142897356
44,cg03820088,0.337643757
45,cg03898602,-0.167582063
46,cg03905052,0.037489046
47,cg03942000,0.08710688
48,cg03962027,-0.063363854
49,cg04025518,-0.167136372
50,cg04051518,-0.13275703
51,cg04097289,0.131097793
52,cg04211240,0.106295746
53,cg04267101,-0.234464438
54,cg04291050,0.033521914
55,cg04318752,-0.009291233
56,cg04368876,0.30163763
57,cg04706544,0.044175638
58,cg04998737,0.336274571
59,cg05191959,-0.964267062
60,cg05322294,-0.12388945
61,cg05401971,0.288727819
62,cg05475048,0.126731493
63,cg05562063,0.056409006
64,cg05575054,0.095687169
65,cg05601676,-0.014081943
66,cg05844902,-0.081703634
67,cg06004718,-0.054016232
68,cg06098215,-0.040804439
69,cg06220792,0.017929448
70,cg06283779,-0.097847143
71,cg06472065,-0.06032863
72,cg06639082,-0.025852302
73,cg06679868,-0.013441018
74,cg06736685,-0.442681022
75,cg06796779,-0.052124729
76,cg07005811,-0.053978516
77,cg07026794,-0.028648239
78,cg07117595,-0.009407756
79,cg07323940,-0.005648684
80,cg07499079,0.077393584
81,cg07600647,0.019510384
82,cg07867602,-0.000113915
83,cg07875786,0.002606451
84,cg07903650,-0.068952498
85,cg07938388,0.023188053
86,cg08074329,0.31370608
87,cg08216101,0.070851007
88,cg08343834,-0.045625754
89,cg08402623,0.022058899
90,cg08430237,-0.007938643
91,cg08446005,0.034781313
92,cg08563010,-0.009484972
93,cg08665685,0.013526449
94,cg08676748,0.179769916
95,cg08797870,0.007758876
96,cg08912313,-0.03524641
97,cg08918292,0.024598087
98,cg08938156,0.84374916
99,cg09025625,-0.029368018
100,cg09191327,-0.037793254
101,cg09227056,0.388273708
102,cg09313705,-0.06520474
103,cg09360996,-0.437834135
104,cg09461098,-0.107178386
105,cg09497746,0.135841844
106,cg09568652,0.053133715
107,cg09576428,-0.003283005
108,cg09578613,-0.015897374
109,cg09605634,0.00252451
110,cg09618893,-0.014382141
111,cg09622673,0.232329532
112,cg09670972,0.038711369
113,cg09681292,0.045923732
114,cg09710440,0.276573722
115,cg09750164,4.45E-05
116,cg09807427,-0.057209803
117,cg09973880,-0.034709016
118,cg10040493,0.076596883
119,cg10061379,-0.149762732
120,cg10125423,0.124808965
121,cg10160701,0.073138298
122,cg10233638,-0.097268038
123,cg10402101,-0.047113417
124,cg10404717,0.016439831
125,cg10439738,0.02922725
126,cg10466667,-0.062113024
127,cg10480998,0.026992226
128,cg10501210,-0.392054908
129,cg10603790,0.030818855
130,cg10739250,0.015192998
131,cg10975089,-0.06229758
132,cg11084334,0.224047701
133,cg11235379,0.058113099
134,cg11290280,-0.119734094
135,cg11321459,-0.036231743
136,cg11352386,0.025405259
137,cg11405955,0.020506243
138,cg11407867,-0.12524961
139,cg11516694,-0.105323857
140,cg11642756,-0.100344586
141,cg11666770,0.064193026
142,cg11690941,0.0002076
143,cg11728741,0.928873588
144,cg11904056,0.341790932
145,cg11948733,-0.093593414
146,cg12156848,0.232543363
147,cg12201500,-0.074764531
148,cg12373771,0.160353416
